normalization,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,
,20200222,,60.263,,,,,20200301,,83.019,,,,,20200229,,46.723,,,,,20200304,,6.573,,,,,20200219,,51.709,,,,,20200301,,67.545,,,,,20200227,,10.333,,,,,20200227,,0.521,,,,,20200229,,8.903,,,,,20200227,,8.655,,,,,20200307,,331.003,,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
13,769,3858,769,3858,1.25,2.8,5.3,930,3675,675,2668,1.34,2.7,3.6,869,3146,1121,4058,1.38,2.0,6.1,53,223,486,2045,1.31,2.2,3.0,599,4335,698,5052,1.16,2.8,6.8,208,798,186,712,1.35,3.1,0.9,95,355,554,2070,1.37,2.1,3.1,29,38,3354,4395,4.22,0.9,7.1,115,361,778,2444,1.47,2.4,3.6,123,497,856,3461,1.33,2.4,5.1,4581,13898,834,2530,1.49,2.2,3.7
14,778,4636,778,4636,1.20,2.9,6.2,924,4599,671,3338,1.25,2.8,4.6,2086,5232,2691,6748,1.66,1.8,10.3,69,292,633,2677,1.31,2.1,3.9,851,5186,992,6044,1.20,2.9,8.1,342,1140,305,1017,1.43,2.9,1.4,145,500,846,2916,1.41,2.5,4.3,37,75,4280,8675,1.97,0.8,14.2,143,504,968,3411,1.40,2.3,4.9,155,652,1079,4540,1.31,2.4,6.5,5653,19551,1029,3559,1.41,2.1,5.2
15,1247,5883,1247,5883,1.27,3.3,7.9,1214,5813,881,4220,1.26,2.7,5.7,1159,6391,1495,8243,1.22,1.8,12.6,74,366,678,3356,1.25,2.5,4.9,435,5621,507,6551,1.08,3.5,8.4,251,1391,224,1241,1.22,2.8,1.6,187,687,1091,4007,1.37,2.6,5.7,29,104,3354,12029,1.39,1.0,19.8,151,655,1022,4434,1.30,2.3,6.4,216,868,1504,6044,1.33,2.9,8.6,4867,24418,886,4446,1.25,2.2,6.5
16,1492,7375,1492,7375,1.25,3.2,9.4,1459,7272,1059,5279,1.25,2.7,7.3,1597,7988,2060,10303,1.25,2.2,15.7,191,557,1751,5107,1.52,2.3,7.4,663,6284,773,7324,1.12,4.1,8.7,152,1543,136,1377,1.11,2.9,1.8,127,814,741,4747,1.18,2.5,6.6,21,125,2429,14458,1.20,1.2,23.2,205,860,1388,5821,1.31,2.2,8.5,271,1139,1887,7931,1.31,2.9,10.7,9422,33840,1715,6161,1.39,2.1,9.1
17,1797,9172,1797,9172,1.24,3.2,11.8,2095,9367,1521,6799,1.29,2.7,9.4,1954,9942,2520,12823,1.24,2.3,18.6,126,683,1155,6262,1.23,2.5,9.0,309,6593,360,7684,1.05,5.6,8.2,407,1950,363,1740,1.26,2.8,2.3,147,961,857,5605,1.18,2.6,7.7,48,173,5552,20011,1.38,1.1,31.5,158,1018,1069,6891,1.18,2.4,10.0,236,1375,1643,9574,1.21,2.9,12.8,10349,44189,1884,8045,1.31,2.1,12.0
18,977,10149,977,10149,1.11,3.5,12.7,2960,12327,2149,8948,1.32,2.8,12.5,1884,11826,2430,15253,1.19,2.5,21.7,102,785,935,7197,1.15,2.7,10.0,448,7041,522,8206,1.07,6.5,7.5,676,2626,603,2343,1.35,2.7,3.2,79,1040,461,6065,1.08,2.9,8.1,31,204,3586,23596,1.18,1.1,37.4,314,1332,2125,9016,1.31,2.4,12.9,842,2217,5863,15437,1.61,2.3,21.8,11209,55398,2041,10086,1.25,2.3,14.8
19,2313,12462,2313,12462,1.23,3.5,15.6,2993,15320,2173,11121,1.24,2.9,15.1,2943,14769,3796,19049,1.25,2.6,26.7,121,906,1109,8306,1.15,2.9,11.2,272,7313,317,8523,1.04,7.8,6.9,643,3269,574,2917,1.24,2.9,4.0,81,1121,472,6538,1.08,3.5,8.3,37,241,4280,27876,1.18,2.1,44.5,314,1646,2125,11142,1.24,2.7,15.7,136,2353,947,16383,1.06,2.6,22.9,13507,68905,2459,12545,1.24,2.6,18.0
20,2651,15113,2651,15113,1.21,3.5,18.7,4528,19848,3287,14408,1.30,2.8,19.5,3308,18077,4267,23316,1.22,3.4,32.0,219,1125,2008,10314,1.24,3.0,13.7,165,7478,192,8715,1.02,11.3,6.1,714,3983,637,3554,1.22,3.3,4.7,75,1196,437,6975,1.07,4.6,8.1,50,291,5783,33659,1.21,3.0,48.6,533,2179,3608,14749,1.32,2.8,20.4,389,2742,2709,19092,1.17,2.8,25.9,17474,86379,3181,15726,1.25,2.8,21.9
21,2547,17660,2547,17660,1.17,3.8,21.6,2516,22364,1826,16234,1.13,3.1,21.4,3494,21571,4507,27822,1.19,3.4,35.0,204,1329,1870,12185,1.18,3.2,15.8,35,7513,41,8756,1.00,14.2,4.5,1035,5018,923,4477,1.26,3.2,5.7,105,1301,612,7588,1.09,6.5,7.8,85,376,9832,43491,1.29,3.2,57.8,470,2649,3181,17931,1.22,3.0,24.1,373,3115,2597,21689,1.14,3.1,28.5,18838,105217,3430,19156,1.22,2.8,25.9
22,3497,21157,3497,21157,1.20,3.9,25.3,2509,24873,1821,18055,1.11,3.3,23.0,3925,25496,5062,32885,1.18,3.6,40.9,235,1564,2155,14339,1.18,4.0,18.2,242,7755,282,9038,1.03,19.7,4.1,665,5683,593,5070,1.13,3.2,6.4,138,1439,805,8392,1.11,7.3,7.3,60,436,6940,50431,1.16,3.3,63.7,343,2992,2322,20252,1.13,3.3,26.2,1107,4222,7708,29397,1.36,3.0,38.8,19571,124788,3563,22719,1.19,3.2,30.3
23,3590,24747,3590,24747,1.17,4.2,28.8,4183,29056,3036,21092,1.17,3.6,26.2,3272,28768,4220,37105,1.13,3.9,44.5,255,1819,2338,16677,1.16,4.2,19.2,114,7869,133,9171,1.01,23.4,3.1,967,6650,863,5933,1.17,3.4,7.6,200,1639,1166,9559,1.14,7.8,8.0,112,548,12955,63386,1.26,3.6,81.2,590,3582,3994,24246,1.20,3.3,30.6,1393,5615,9699,39096,1.33,2.8,51.7,20192,144980,3676,26395,1.16,3.5,33.6
24,3233,27980,3233,27980,1.13,4.1,31.2,3935,32991,2856,23948,1.14,4.2,28.5,6368,35136,8213,45318,1.22,3.8,53.9,302,2121,2769,19446,1.17,4.2,21.9,110,7979,128,9299,1.01,33.2,2.7,1427,8077,1273,7206,1.21,3.7,9.1,131,1770,764,10323,1.08,7.8,7.8,73,621,8444,71830,1.13,3.7,86.0,892,4474,6038,30284,1.25,3.4,38.8,1248,6863,8690,47786,1.22,3.6,63.4,23197,168177,4223,30619,1.16,3.7,37.5
