normalization,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,
,20200222,,60.263,,,,,20200301,,83.019,,,,,20200229,,46.723,,,,,20200304,,6.573,,,,,20200219,,51.709,,,,,20200301,,67.545,,,,,20200227,,10.333,,,,,20200227,,0.521,,,,,20200229,,8.903,,,,,20200227,,8.655,,,,,20200307,,331.003,,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
45,3599,132547,3599,132547,1.03,18.4,51.1,2138,132210,1552,95970,1.02,26.9,29.6,3268,170099,4215,219393,1.02,23.0,71.5,709,13980,6500,128172,1.05,9.3,89.6,86,10062,100,11727,1.01,69.5,1.4,5252,93873,4686,83753,1.06,9.5,57.2,466,10151,2718,59202,1.05,10.5,35.9,67,2041,7750,236078,1.03,19.7,82.5,96,14041,650,95041,1.01,39.5,19.6,556,25107,3871,174815,1.02,23.9,53.2,28131,798145,5122,145312,1.04,16.7,61.5
46,3039,135586,3039,135586,1.02,20.4,49.4,2543,134753,1846,97816,1.02,31.8,25.8,3961,174060,5109,224501,1.02,25.9,68.7,778,14758,7133,135305,1.06,9.8,88.7,94,10156,110,11836,1.01,71.6,1.3,4603,98476,4107,87859,1.05,10.0,55.9,332,10483,1936,61138,1.03,11.1,35.4,53,2094,6130,242209,1.03,21.9,84.6,185,14226,1252,96294,1.01,43.9,17.8,308,25415,2145,176959,1.01,25.9,49.9,26084,824229,4749,150061,1.03,17.8,61.1
47,3836,139422,3836,139422,1.03,21.8,47.9,2945,137698,2138,99954,1.02,34.8,23.4,6599,180659,8511,233013,1.04,25.2,69.4,493,15251,4520,139825,1.03,11.5,85.1,81,10237,94,11930,1.01,71.8,1.3,4617,103093,4119,91979,1.05,12.4,56.3,465,10948,2712,63850,1.04,11.7,36.2,51,2145,5899,248108,1.02,23.0,79.3,124,14350,839,97133,1.01,51.8,15.8,273,25688,1901,178860,1.01,28.9,46.6,30156,854385,5490,155551,1.04,18.5,61.0
48,4204,143626,4204,143626,1.03,22.9,47.1,3699,141397,2685,102639,1.03,34.7,23.2,4289,184948,5532,238545,1.02,26.7,67.9,401,15652,3676,143502,1.03,13.4,76.1,47,10284,55,11985,1.00,83.8,1.2,5599,108692,4995,96974,1.05,13.0,51.7,497,11445,2899,66748,1.05,13.5,36.3,35,2180,4048,252156,1.02,26.1,74.7,126,14476,853,97986,1.01,63.6,13.8,248,25936,1727,180587,1.01,38.4,42.6,31889,886274,5806,161357,1.04,19.3,61.6
49,3951,147577,3951,147577,1.03,24.6,46.0,2327,143724,1689,104328,1.02,35.5,22.0,5891,190839,7598,246143,1.03,26.4,69.7,388,16040,3557,147059,1.02,16.9,69.4,47,10331,55,12040,1.00,94.6,1.1,5525,114217,4929,101903,1.05,13.7,52.2,482,11927,2811,69559,1.04,15.6,33.9,44,2224,5089,257246,1.02,27.4,70.1,119,14595,805,98791,1.01,74.8,11.6,400,26336,2785,183372,1.02,45.8,35.3,38958,925232,7093,168449,1.04,19.1,63.6
50,4694,152271,4694,152271,1.03,25.0,45.9,2018,145742,1465,105793,1.01,36.5,21.5,3577,194416,4614,250756,1.02,27.2,67.2,631,16671,5785,152844,1.04,18.2,62.7,53,10384,62,12102,1.01,103.7,1.0,5850,120067,5219,107123,1.05,13.7,53.0,613,12540,3575,73134,1.05,16.1,32.9,44,2268,5089,262335,1.02,29.9,68.5,76,14671,514,99306,1.01,81.9,9.7,396,26732,2757,186129,1.02,48.8,31.0,35419,960651,6448,174898,1.04,18.8,65.5
51,4092,156363,4092,156363,1.03,25.2,45.5,1323,147065,960,106754,1.01,39.0,20.5,4258,198674,5492,256248,1.02,26.8,68.2,936,17607,8581,161426,1.06,18.0,66.0,39,10423,45,12147,1.00,117.9,0.9,4676,124743,4172,111295,1.04,14.6,53.5,676,13216,3942,77077,1.05,15.8,34.2,28,2296,3239,265574,1.01,35.3,61.8,78,14749,528,99834,1.01,84.5,9.0,346,27078,2409,188539,1.01,55.0,29.2,26509,987160,4826,179724,1.03,19.6,65.6
52,3153,159516,3153,159516,1.02,25.6,44.8,1388,148453,1008,107761,1.01,42.9,19.6,1536,200210,1981,258229,1.01,29.7,64.4,577,18184,5290,166716,1.03,19.9,64.0,27,10450,31,12179,1.00,145.7,0.8,4301,129044,3837,115132,1.03,15.4,52.1,606,13822,3534,80611,1.05,15.0,35.5,29,2325,3354,268928,1.01,39.7,54.5,46,14795,311,100145,1.00,106.0,8.5,326,27404,2270,190808,1.01,55.2,26.5,23196,1010356,4223,183947,1.02,20.4,64.1
53,2972,162488,2972,162488,1.02,27.2,44.6,2195,150648,1593,109354,1.01,46.2,19.1,3968,204178,5118,263347,1.02,33.9,64.5,377,18561,3456,170172,1.02,21.1,57.9,30,10480,35,12214,1.00,177.3,0.6,4451,133495,3971,119103,1.03,16.1,51.8,563,14385,3283,83895,1.04,15.2,37.8,55,2380,6362,275290,1.02,40.0,54.9,78,14873,528,100673,1.01,116.1,7.3,336,27740,2339,193148,1.01,54.1,26.9,25409,1035765,4626,188573,1.03,21.6,63.9
54,2667,165155,2667,165155,1.02,29.8,42.7,2481,153129,1801,111155,1.02,52.2,18.6,4211,208389,5431,268779,1.02,34.8,59.3,701,19262,6427,176599,1.04,20.0,61.0,32,10512,37,12251,1.00,189.6,0.5,4583,138078,4089,123192,1.03,17.4,51.8,392,14777,2286,86181,1.03,16.3,37.1,15,2395,1735,277025,1.01,44.2,48.0,52,14925,352,101025,1.00,136.1,6.5,204,27944,1420,194568,1.01,55.8,26.1,28429,1064194,5176,193749,1.03,22.7,63.4
55,3786,168941,3786,168941,1.02,30.7,42.0,1870,154999,1357,112513,1.01,55.1,16.4,4635,213024,5978,274757,1.02,37.8,60.1,386,19648,3539,180138,1.02,20.5,60.8,25,10537,29,12280,1.00,210.6,0.5,5386,143464,4805,127997,1.04,18.2,51.5,545,15322,3178,89359,1.04,16.6,37.5,17,2412,1966,278991,1.01,51.2,44.5,77,15002,521,101546,1.01,151.2,5.9,119,28063,829,195397,1.00,65.4,24.6,30829,1095023,5613,199362,1.03,24.7,63.1
56,3493,172434,3493,172434,1.02,33.4,41.2,1514,156513,1099,113612,1.01,58.3,15.4,6740,219764,8693,283450,1.03,33.9,61.9,229,19877,2100,182238,1.01,23.6,58.4,27,10564,31,12312,1.00,242.0,0.5,4913,148377,4383,132381,1.03,19.6,50.6,682,16004,3977,93337,1.04,17.0,39.5,4,2416,463,279454,1.00,65.6,36.9,69,15071,467,102013,1.00,154.6,5.3,205,28268,1427,196824,1.01,74.4,22.3,36007,1131030,6555,205917,1.03,25.5,62.2
57,3491,175925,3491,175925,1.02,35.3,39.3,1257,157770,912,114524,1.01,59.2,14.5,3995,223759,5153,288603,1.02,34.9,62.8,376,20253,3447,185685,1.02,29.7,54.5,27,10591,31,12343,1.00,260.1,0.4,4463,152840,3982,136362,1.03,20.5,48.5,751,16755,4380,97717,1.05,17.5,40.8,19,2435,2198,281651,1.01,70.6,32.1,77,15148,521,102534,1.01,155.8,5.4,228,28496,1588,198412,1.01,81.4,20.4,29744,1160774,5415,211333,1.03,25.7,60.5
58,3047,178972,3047,178972,1.02,36.1,37.5,988,158758,717,115241,1.01,61.9,14.1,2870,226629,3702,292305,1.01,33.5,59.8,359,20612,3291,188976,1.02,33.1,45.7,22,10613,26,12369,1.00,268.7,0.4,4309,157149,3844,140207,1.03,21.1,48.0,812,17567,4736,102452,1.05,17.3,42.1,21,2456,2429,284080,1.01,75.7,30.7,77,15225,521,103056,1.01,145.2,5.3,181,28677,1260,199672,1.01,91.6,18.5,27348,1188122,4979,216312,1.02,25.7,60.7
59,2256,181228,2256,181228,1.01,38.1,36.0,1154,159912,838,116079,1.01,69.6,13.8,2793,229422,3602,295907,1.01,35.6,62.5,221,20833,2026,191002,1.01,35.9,40.3,22,10635,26,12394,1.00,283.3,0.4,3996,161145,3565,143772,1.03,22.1,47.5,610,18177,3558,106010,1.03,17.8,42.1,20,2476,2313,286394,1.01,105.1,29.0,49,15274,332,103387,1.00,156.3,5.4,217,28894,1511,201183,1.01,102.0,17.2,24713,1212835,4499,220811,1.02,26.3,61.2
60,2729,183957,2729,183957,1.02,38.6,35.6,1627,161539,1181,117260,1.01,77.8,13.1,2706,232128,3490,299397,1.01,38.5,59.8,343,21176,3145,194147,1.02,43.9,39.8,18,10653,21,12415,1.00,312.1,0.3,4076,165221,3637,147409,1.03,23.2,47.0,463,18640,2700,108710,1.03,17.9,41.2,5,2481,578,286972,1.00,117.8,19.4,83,15357,562,103949,1.01,145.7,5.4,167,29061,1163,202346,1.01,106.1,15.3,24798,1237633,4515,225326,1.02,27.5,61.0
61,3370,187327,3370,187327,1.02,40.2,36.8,1470,163009,1067,118327,1.01,82.5,11.9,4771,236899,6154,305551,1.02,39.1,61.0,330,21506,3026,197173,1.02,46.0,34.1,8,10661,9,12425,1.00,355.4,0.3,6032,171253,5382,152790,1.04,23.5,49.1,286,18926,1668,110378,1.02,19.6,40.2,15,2496,1735,288707,1.01,121.4,19.4,45,15402,305,104254,1.00,158.0,5.4,103,29164,717,203063,1.00,108.1,14.1,25459,1263092,4635,229961,1.02,29.1,60.1
62,2646,189973,2646,189973,1.01,42.9,34.9,1068,164077,775,119103,1.01,88.1,10.9,2441,239340,3148,308699,1.01,48.7,56.3,266,21772,2439,199611,1.01,45.7,32.3,13,10674,15,12440,1.00,401.4,0.3,6201,177454,5532,158323,1.04,23.2,50.3,695,19621,4053,114431,1.04,20.4,41.6,2,2498,231,288939,1.00,124.5,16.5,50,15452,338,104592,1.00,166.6,5.1,100,29264,696,203759,1.00,120.1,13.9,29531,1292623,5376,235337,1.02,31.1,59.7
63,3021,192994,3021,192994,1.02,44.9,34.1,890,164967,646,119749,1.01,93.2,10.2,3639,242979,4694,313393,1.02,50.4,49.7,211,21983,1935,201546,1.01,50.7,32.0,9,10683,10,12450,1.00,480.8,0.2,4806,182260,4288,162611,1.03,23.6,50.2,681,20302,3972,118403,1.03,21.6,41.6,9,2507,1041,289980,1.00,142.6,17.5,79,15531,535,105127,1.01,166.5,5.2,143,29407,996,204755,1.00,132.1,13.2,29162,1321785,5309,240647,1.02,32.0,57.6
64,2357,195351,2357,195351,1.01,47.5,32.2,697,165664,506,120255,1.00,97.6,9.5,2610,245589,3366,316759,1.01,51.7,46.7,265,22248,2430,203976,1.01,54.4,30.4,11,10694,13,12463,1.00,546.9,0.2,4339,186599,3871,166482,1.02,24.2,50.0,790,21092,4607,123010,1.04,22.7,42.0,11,2518,1272,291252,1.00,166.7,15.9,27,15558,183,105310,1.00,192.2,4.6,179,29586,1246,206001,1.01,133.2,12.6,25524,1347309,4647,245293,1.02,33.1,56.4
65,2324,197675,2324,197675,1.01,47.9,31.0,488,166152,354,120609,1.00,108.6,8.9,1533,247122,1977,318736,1.01,55.9,43.9,137,22385,1256,205232,1.01,57.9,27.0,8,10702,9,12472,1.00,662.2,0.2,3985,190584,3555,170037,1.02,24.8,49.5,428,21520,2496,125507,1.02,24.6,38.3,10,2528,1157,292409,1.00,200.0,13.8,39,15597,264,105574,1.00,198.7,4.2,119,29705,829,206830,1.00,150.2,11.9,20329,1367638,3701,248995,1.02,34.6,54.2
66,1739,199414,1739,199414,1.01,51.5,30.2,855,167007,621,121229,1.01,124.9,8.5,1179,248301,1521,320257,1.00,61.7,40.4,156,22541,1430,206662,1.01,66.5,26.0,6,10708,7,12479,1.00,807.6,0.1,4406,194990,3931,173968,1.02,25.1,50.1,562,22082,3278,128784,1.03,24.5,37.8,7,2535,810,293218,1.00,193.1,11.3,24,15621,162,105736,1.00,243.9,3.9,112,29817,780,207610,1.00,161.9,10.7,18196,1385834,3313,252307,1.01,36.8,52.3
67,2091,201505,2091,201505,1.01,57.0,29.1,1155,168162,838,122068,1.01,133.6,8.0,2260,250561,2915,323172,1.01,74.1,39.5,219,22760,2008,208670,1.01,73.4,24.1,10,10718,12,12491,1.00,779.9,0.1,6111,201101,5452,179420,1.03,25.9,53.1,235,22317,1371,130155,1.01,25.2,35.6,1,2536,116,293334,1.00,261.5,10.6,29,15650,196,105932,1.00,260.3,3.3,88,29905,613,208222,1.00,165.7,9.8,22802,1408636,4151,256459,1.02,38.1,51.7
68,2086,203591,2086,203591,1.01,60.1,27.0,1268,169430,920,122988,1.01,129.5,7.7,3121,253682,4025,327197,1.01,71.4,35.9,236,22996,2164,210833,1.01,76.0,22.7,10,10728,12,12503,1.00,824.1,0.1,5614,206715,5009,184429,1.03,27.2,52.5,404,22721,2356,132511,1.02,28.3,36.7,5,2541,578,293912,1.00,243.6,8.6,34,15684,230,106163,1.00,279.0,3.2,76,29981,529,208752,1.00,171.8,9.4,21711,1430347,3953,260412,1.02,41.1,50.5
69,1872,205463,1872,205463,1.01,66.4,25.7,1158,170588,841,123829,1.01,124.1,7.8,3173,256855,4093,331290,1.01,74.9,37.5,139,23135,1274,212108,1.01,81.4,20.7,10,10738,12,12514,1.00,809.9,0.1,4649,211364,4148,188577,1.02,28.1,50.2,495,23216,2887,135398,1.02,31.0,34.8,1,2542,116,294028,1.00,299.8,8.4,68,15752,460,106623,1.00,294.3,3.4,28,30009,195,208947,1.00,205.2,8.6,27246,1457593,4960,265372,1.02,42.5,49.8
70,1965,207428,1965,207428,1.01,69.3,24.0,736,171324,534,124363,1.00,123.8,7.7,3262,260117,4207,335497,1.01,72.3,36.7,107,23242,981,213089,1.00,95.1,19.2,14,10752,16,12531,1.00,768.9,0.1,3896,215260,3476,192053,1.02,29.1,48.9,702,23918,4094,139492,1.03,33.0,35.0,1,2543,116,294144,1.00,420.7,6.9,22,15774,149,106772,1.00,301.6,2.7,51,30060,355,209302,1.00,261.6,7.5,26692,1484285,4860,270232,1.02,42.9,49.1
71,1900,209328,1900,209328,1.01,72.6,23.2,555,171879,403,124766,1.00,122.7,7.5,2666,262783,3439,338936,1.01,67.7,36.8,159,23401,1458,214547,1.01,93.7,17.5,9,10761,10,12541,1.00,756.4,0.1,3923,219183,3500,195553,1.02,29.7,48.2,705,24623,4112,143604,1.03,30.8,34.2,9,2552,1041,295185,1.00,439.9,6.5,59,15833,399,107171,1.00,276.9,3.1,66,30126,460,209761,1.00,295.5,6.2,23488,1507773,4276,274508,1.02,42.6,48.5
72,1389,210717,1389,210717,1.01,75.4,21.6,697,172576,506,125272,1.00,126.8,7.7,1880,264663,2425,341360,1.01,65.2,37.5,426,23827,3906,218452,1.02,74.9,21.9,4,10765,5,12546,1.00,783.3,0.1,3877,223060,3459,199012,1.02,30.9,48.1,642,25265,3744,147348,1.03,30.9,36.2,6,2558,694,295879,1.00,460.2,5.8,38,15871,257,107428,1.00,261.9,3.1,81,30207,564,210325,1.00,320.0,5.8,19891,1527664,3621,278129,1.01,42.7,48.3
73,1221,211938,1221,211938,1.01,82.4,20.8,595,173171,432,125704,1.00,141.7,7.4,3480,268143,4488,345849,1.01,61.3,42.5,129,23956,1183,219635,1.01,81.1,21.5,9,10774,10,12556,1.00,798.0,0.1,3403,226463,3036,202048,1.02,35.0,46.6,656,25921,3826,151174,1.03,27.8,37.2,9,2567,1041,296920,1.00,342.2,6.1,11,15882,74,107503,1.00,282.5,2.9,44,30251,306,210632,1.00,361.5,5.0,22630,1550294,4120,282249,1.01,43.4,49.7
74,1075,213013,1075,213013,1.01,91.9,19.1,927,174098,673,126377,1.01,153.0,7.2,1377,269520,1776,347625,1.01,68.6,40.6,92,24048,843,220478,1.00,92.8,19.6,6,10780,7,12563,1.00,860.0,0.1,3242,229705,2892,204941,1.01,39.4,42.3,401,26322,2339,153512,1.02,28.3,38.8,2,2569,231,297151,1.00,379.3,6.3,79,15961,535,108037,1.00,237.5,3.5,54,30305,376,211008,1.00,386.9,4.6,20289,1570583,3694,285943,1.01,44.5,48.9
75,1444,214457,1444,214457,1.01,97.1,18.0,877,174975,637,127013,1.01,163.8,6.7,1575,271095,2031,349656,1.01,77.0,37.3,64,24112,587,221065,1.00,100.4,17.0,13,10793,15,12578,1.00,814.0,0.1,3446,233151,3074,208015,1.02,42.4,39.1,348,26670,2030,155542,1.01,30.0,38.2,3,2572,347,297498,1.00,354.3,6.0,36,15997,244,108281,1.00,269.4,3.5,39,30344,272,211279,1.00,374.6,4.2,22139,1592722,4031,289974,1.01,46.9,49.1
76,1401,215858,1401,215858,1.01,104.4,17.2,724,175699,526,127539,1.00,164.9,6.2,1551,272646,2000,351657,1.01,88.4,33.8,88,24200,807,221872,1.00,102.8,16.2,8,10801,9,12588,1.00,914.6,0.1,3560,236711,3176,211191,1.02,43.8,37.5,602,27272,3511,159053,1.02,31.7,39.3,0,2572,0,297498,1.00,366.6,5.8,61,16058,413,108694,1.00,233.0,3.4,36,30380,251,211530,1.00,392.7,4.3,28175,1620897,5130,295103,1.02,47.2,49.3
77,1327,217185,1327,217185,1.01,112.9,16.2,545,176244,396,127934,1.00,165.8,5.9,1721,274367,2220,353877,1.01,96.4,30.5,51,24251,468,222340,1.00,116.3,15.4,3,10804,3,12591,1.00,1042.8,0.1,3450,240161,3078,214269,1.01,45.5,36.9,637,27909,3715,162768,1.02,33.2,38.6,3,2575,347,297845,1.00,463.3,6.1,51,16109,345,109039,1.00,240.6,3.8,33,30413,230,211760,1.00,438.6,4.1,24197,1645094,4405,299509,1.01,47.7,48.6
78,1083,218268,1083,218268,1.00,118.1,14.8,407,176651,295,128230,1.00,178.2,5.7,2138,276505,2758,356634,1.01,95.0,29.4,64,24315,587,222926,1.00,205.1,13.9,2,10806,2,12594,1.00,1093.9,0.1,3534,243695,3153,217422,1.01,47.0,36.3,673,28582,3925,166693,1.02,33.7,38.3,3,2578,347,298192,1.00,533.8,5.0,92,16201,623,109662,1.01,202.0,4.1,50,30463,348,212108,1.00,492.8,3.9,21929,1667023,3992,303501,1.01,47.6,48.1
79,802,219070,802,219070,1.00,125.6,13.9,638,177289,463,128693,1.00,176.9,5.7,1214,277719,1566,358200,1.00,118.5,27.9,76,24391,697,223623,1.00,231.1,8.6,4,10810,5,12598,1.00,1246.6,0.1,2711,246406,2419,219841,1.01,49.3,34.6,625,29207,3645,170338,1.02,34.8,38.1,0,2578,0,298192,1.00,972.4,3.8,41,16242,278,109940,1.00,185.5,4.2,51,30514,355,212463,1.00,480.4,3.5,,,,,,,
80,744,219814,744,219814,1.00,132.3,13.1,538,177827,391,129084,1.00,196.2,5.6,469,278188,605,358805,1.00,131.3,21.5,115,24506,1054,224677,1.00,220.4,8.4,12,10822,14,12612,1.00,1069.4,0.1,2412,248818,2152,221993,1.01,52.0,33.1,470,29677,2741,173079,1.02,34.7,36.3,0,2578,0,298192,1.00,1188.9,2.1,27,16269,183,110122,1.00,217.5,4.3,58,30572,404,212867,1.00,474.1,3.7,,,,,,,
81,1402,221216,1402,221216,1.01,134.0,13.6,704,178531,511,129595,1.00,206.7,5.3,615,278803,793,359598,1.00,148.3,19.9,76,24582,697,225374,1.00,215.4,8.1,18,10840,21,12633,1.00,956.9,0.1,2090,250908,1865,223858,1.01,56.6,31.4,466,30143,2718,175797,1.02,34.0,37.0,2,2580,231,298423,1.00,1338.8,2.1,52,16321,352,110474,1.00,207.4,4.0,15,30587,104,212971,1.00,521.4,3.3,,,,,,,
82,888,222104,888,222104,1.00,145.8,12.7,490,179021,356,129950,1.00,222.0,4.9,721,279524,930,360528,1.00,166.8,18.0,,,,,,,,34,10874,40,12673,1.00,617.1,0.2,3287,254195,2933,226790,1.01,58.3,31.2,234,30377,1365,177161,1.01,38.5,35.9,2,2582,231,298655,1.00,1071.5,1.9,32,16353,217,110691,1.00,228.4,4.0,10,30597,70,213041,1.00,584.2,2.9,,,,,,,
83,992,223096,992,223096,1.00,154.9,12.0,692,179713,502,130453,1.00,213.4,4.8,593,280117,765,361293,1.00,200.4,16.0,,,,,,,,35,10909,41,12714,1.00,429.8,0.2,2959,257154,2640,229430,1.01,60.8,30.3,422,30799,2461,179623,1.01,42.2,34.1,5,2587,578,299233,1.00,894.2,2.9,51,16404,345,111036,1.00,229.1,3.9,21,30618,146,213187,1.00,619.0,2.7,,,,,,,
84,789,223885,789,223885,1.00,163.7,11.1,273,179986,198,130651,1.00,222.3,4.5,1787,281904,2305,363598,1.01,215.0,16.1,,,,,,,,27,10936,31,12745,1.00,347.7,0.3,,,,,,,,724,31523,4222,183845,1.02,42.4,35.0,0,2587,0,299233,1.00,1192.9,2.3,32,16436,217,111253,1.00,288.8,3.7,40,30658,279,213465,1.00,651.7,2.8,,,,,,,
85,875,224760,875,224760,1.00,162.2,10.8,,,,,,,,466,282370,601,364199,1.00,250.3,12.6,,,,,,,,26,10962,30,12775,1.00,297.8,0.3,,,,,,,,649,32172,3785,187630,1.02,43.0,34.7,0,2587,0,299233,1.00,1192.9,1.7,50,16486,338,111591,1.00,278.9,3.2,36,30694,251,213716,1.00,707.0,2.7,,,,,,,
86,675,225435,675,225435,1.00,164.7,10.6,,,,,,,,,,,,,,,,,,,,,,29,10991,34,12809,1.00,268.4,0.4,,,,,,,,637,32809,3715,191345,1.02,41.4,34.9,3,2590,347,299580,1.00,895.3,2.3,,,,,,,,13,30707,91,213807,1.00,943.8,2.2,,,,,,,
87,451,225886,451,225886,1.00,199.1,10.1,,,,,,,,,,,,,,,,,,,,,,27,11018,31,12841,1.00,255.3,0.4,,,,,,,,379,33188,2210,193555,1.01,43.2,34.0,0,2590,0,299580,1.00,1074.6,2.3,,,,,,,,18,30725,125,213932,1.00,923.8,1.8,,,,,,,
88,813,226699,813,226699,1.00,203.1,9.1,,,,,,,,,,,,,,,,,,,,,,19,11037,22,12863,1.00,279.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,665,227364,665,227364,1.00,219.5,8.7,,,,,,,,,,,,,,,,,,,,,,13,11050,15,12878,1.00,323.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,642,228006,642,228006,1.00,228.0,8.1,,,,,,,,,,,,,,,,,,,,,,15,11065,17,12895,1.00,354.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,652,228658,652,228658,1.00,241.9,7.9,,,,,,,,,,,,,,,,,,,,,,13,11078,15,12911,1.00,395.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,669,229327,669,229327,1.00,243.0,7.6,,,,,,,,,,,,,,,,,,,,,,32,11110,37,12948,1.00,386.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11122,14,12962,1.00,442.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,11142,23,12985,1.00,439.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,11165,27,13012,1.00,401.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
