country,nx,tx,nx_avg
de,,,
de,,,
de,,,
de,,,
de,,,
es,25,70,21
es,36,106,20
es,70,175,30
es,72,248,37
es,97,344,48
es,104,449,61
es,236,685,91
es,301,985,131
es,426,1411,186
es,558,1970,256
es,996,2965,388
es,1258,4223,554
es,1487,5710,752
es,1975,7685,1000
es,2171,9855,1267
es,2765,12621,1601
es,2200,14821,1836
es,3228,18049,2155
es,4764,22814,2656
es,5220,28034,3189
es,5893,33927,3749
es,7024,40951,4442
es,6276,47227,4944
es,5992,53219,5485
es,9920,63139,6441
es,11032,74171,7337
es,11549,85720,8241
es,11842,97561,9091
es,10633,108194,9606
es,8286,116480,9893
es,7498,123977,10108
es,10505,134483,10192
es,9561,144044,9982
es,9781,153825,9729
es,9379,163204,9378
es,8594,171798,9086
es,7136,178934,8922
es,4730,183664,8527
es,6719,190382,7986
es,7201,197583,7648
es,7410,204993,7310
es,5852,210845,6806
es,5869,216714,6417
es,5029,221743,6115
es,3908,225651,5998
es,4019,229670,5612
es,5706,235376,5399
es,4927,240303,5044
es,4924,245227,4912
es,4948,250175,4780
es,-920,249255,3930
es,2861,252116,3781
es,3806,255922,3750
es,2982,258904,3361
es,3761,262665,3195
es,2727,265392,2881
es,3232,268624,2636
es,2117,270740,3069
es,2141,272882,2967
es,1967,274848,2704
es,1092,275941,2434
es,1601,277542,2125
es,1789,279330,1991
es,1592,280922,1757
es,1206,282128,1627
es,601,282729,1407
es,1340,284069,1317
es,1135,285204,1323
es,1188,286392,1264
es,1513,287905,1225
es,958,288863,1134
es,4406,293269,1592
es,507,293776,1578
es,622,294398,1476
es,566,294964,1394
es,1095,296059,1381
es,829,296888,1283
es,664,297553,1241
es,841,298394,732
es,330,298724,707
es,556,299280,697
es,668,299948,712
es,622,300569,644
es,2305,302874,855
es,601,303475,846
es,622,304097,815
es,-480,303617,699
es,1108,304725,778
es,658,305383,776
es,1466,306850,897
es,849,307698,689
es,856,308555,726
es,259,308814,674
es,270,309083,781
es,379,309463,677
es,508,309971,655
es,431,310402,507
es,410,310812,445
es,428,311240,384
es,310,311550,391
es,215,311765,383
es,321,312086,375
es,405,312491,360
es,551,313042,377
es,647,313689,411
es,511,314200,423
es,417,314617,438
es,233,314850,441
es,282,315133,435
es,458,315590,443
es,755,316345,472
es,396,316741,436
es,468,317209,430
es,431,317640,432
es,299,317939,441
es,320,318259,447
es,431,318690,443
es,516,319206,409
es,540,319746,429
es,727,320474,466
es,388,320862,460
es,258,321120,454
es,388,321508,464
es,500,322008,474
es,573,322581,482
es,570,323151,486
es,,323151,383
es,,323151,327
es,1605,324756,519
es,440,325196,527
es,494,325690,526
es,700,326390,544
es,1099,327489,620
es,,327489,620
es,,327489,620
es,2638,330126,767
es,859,330985,827
es,1129,332114,918
es,1755,333869,1069
es,1806,335675,1169
es,,335675,1169
es,,335675,1169
es,5909,341584,1637
es,1752,343335,1764
es,1750,345085,1853
es,3373,348458,2084
es,2908,351367,2242
es,,351367,2242
es,,351367,2242
es,8204,359571,2570
es,2358,361929,2656
es,2620,364548,2780
es,3597,368146,2812
es,3988,372134,2967
es,,,2967
es,,,2967
es,,,1795
es,,,1458
es,,,1084
es,,,570
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
es,,,
ie,37,55,22
ie,64,119,25
ie,46,165,32
ie,9,174,31
ie,18,193,31
ie,128,321,46
ie,73,394,54
ie,248,642,84
ie,193,834,102
ie,348,1183,145
ie,367,1549,196
ie,495,2045,265
ie,633,2677,337
ie,678,3356,423
ie,1751,5107,638
ie,1155,6262,775
ie,935,7197,859
ie,1109,8306,965
ie,2008,10314,1181
ie,1870,12185,1358
ie,2155,14339,1569
ie,2338,16677,1653
ie,2769,19446,1883
ie,2695,22141,2135
ie,1834,23975,2238
ie,2705,26680,2338
ie,2980,29659,2496
ie,1944,31603,2466
ie,3686,35289,2659
ie,3887,39176,2819
ie,3035,42211,2867
ie,4648,46859,3269
ie,2320,49179,3214
ie,3163,52342,3240
ie,4722,57063,3637
ie,10718,67781,4642
ie,6381,74162,4998
ie,7692,81854,5663
ie,6665,88520,5952
ie,9095,97615,6919
ie,7628,105243,7557
ie,9792,115034,8282
ie,6638,121672,7699
ie,6500,128172,7716
ie,7133,135305,7636
ie,4520,139825,7329
ie,3676,143502,6555
ie,3557,147059,5974
ie,5785,152844,5401
ie,8581,161426,5679
ie,5290,166716,5506
ie,3456,170172,4981
ie,6427,176599,5253
ie,3539,180138,5234
ie,2100,182238,5026
ie,3447,185685,4692
ie,3291,188976,3936
ie,2026,191002,3470
ie,3145,194147,3425
ie,3026,197173,2939
ie,1980,199153,2716
ie,2393,201546,2758
ie,2430,203976,2613
ie,1256,205232,2322
ie,1430,206662,2237
ie,2008,208670,2075
ie,2164,210833,1952
ie,1274,212108,1851
ie,981,213089,1649
ie,1458,214547,1510
ie,3906,218452,1889
ie,1183,219635,1853
ie,843,220478,1687
ie,587,221065,1462
ie,807,221872,1395
ie,468,222340,1322
ie,587,222926,1197
ie,697,223623,739
ie,1054,224677,720
ie,697,225374,699
ie,523,225897,690
ie,541,226438,652
ie,339,226777,634
ie,623,227400,639
ie,348,227749,589
ie,321,228070,485
ie,486,228556,454
ie,559,229115,460
ie,660,229775,477
ie,37,229812,434
ie,413,230224,403
ie,284,230508,394
ie,193,230701,376
ie,183,230884,333
ie,165,231049,276
ie,55,231104,190
ie,73,231178,195
ie,147,231324,157
ie,64,231389,126
ie,110,231499,114
ie,413,231911,147
ie,73,231985,134
ie,165,232150,149
ie,119,232269,156
ie,64,232333,144
ie,128,232461,153
ie,119,232581,155
ie,55,232636,103
ie,46,232681,100
ie,37,232718,81
ie,73,232791,75
ie,46,232837,72
ie,83,232920,65
ie,83,233002,60
ie,211,233213,83
ie,18,233231,79
ie,211,233442,103
ie,101,233543,107
ie,37,233580,106
ie,110,233690,110
ie,83,233772,110
ie,101,233873,94
ie,165,234038,115
ie,37,234075,90
ie,64,234139,85
ie,37,234176,85
ie,211,234387,100
ie,220,234607,119
ie,202,234808,134
ie,156,234964,132
ie,92,235056,140
ie,293,235349,173
ie,119,235469,185
ie,138,235606,174
ie,293,235899,185
