normalization,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,,start date,,population,,,
,20200222,,60,,,,20200301,,83,,,,20200229,,47,,,,20200304,,7,,,,20200219,,52,,,,20200301,,68,,,,20200227,,10,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),n(de),t(de),nx(de),tx(de),q(de),td(de),n(es),t(es),nx(es),tx(es),q(es),td(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),n(se),t(se),nx(se),tx(se),q(se),td(se)
25,3526,31506,3526,31506,1.13,5.2,,,,,,,,,,,,,,,,,,,107,8086,125,9424,1.01,49.8,,,,,,,,,,,,
26,4207,35713,4207,35713,1.13,5.7,,,,,,,,,,,,,,,,,,,76,8162,89,9512,1.01,56.9,,,,,,,,,,,,
27,5322,41035,5322,41035,1.15,5.4,,,,,,,,,,,,,,,,,,,74,8236,86,9598,1.01,65.6,,,,,,,,,,,,
28,5986,47021,5986,47021,1.15,5.2,,,,,,,,,,,,,,,,,,,84,8320,98,9696,1.01,72.9,,,,,,,,,,,,
29,6557,53578,6557,53578,1.14,5.1,,,,,,,,,,,,,,,,,,,93,8413,108,9805,1.01,68.7,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,152,8565,177,9982,1.02,53.1,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,87,8652,101,10083,1.01,53.1,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,147,8799,171,10255,1.02,46.3,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
