day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
105,518,234531,518,234531,1.00,520.3,3.8,348,186022,253,135032,1.00,376.6,2.8,502,243209,647,313689,1.00,530.5,4.8,7,25341,64,232333,1.00,1020.9,1.7,38,11541,44,13450,1.00,171.8,0.6,1017,269233,907,240207,1.00,184.7,10.5,791,45924,4613,267833,1.02,35.1,71.0,0,2602,0,300968,1.00,2161.6,1.0,30,16994,203,115030,1.00,408.8,2.1,23,30928,160,215345,1.00,1310.4,1.4,27762,2191052,5054,398907,1.01,62.0,50.7
106,270,234801,270,234801,1.00,545.9,3.5,247,186269,179,135212,1.00,371.0,2.8,396,243605,511,314200,1.00,490.9,4.9,14,25355,128,232461,1.00,1002.0,1.8,49,11590,57,13507,1.00,193.8,0.6,1052,270285,939,241146,1.00,177.9,10.4,890,46814,5191,273024,1.02,37.3,58.2,4,2606,463,301431,1.00,1352.2,1.7,20,17014,135,115165,1.00,482.5,2.2,33,30961,230,215575,1.00,1190.1,1.5,29909,2220961,5445,404352,1.01,61.0,52.0
107,197,234998,197,234998,1.00,540.5,3.3,192,186461,139,135351,1.00,402.2,2.7,323,243928,417,314617,1.00,456.7,5.1,13,25368,119,232581,1.00,1443.1,1.8,39,11629,45,13553,1.00,211.0,0.6,890,271175,794,241940,1.00,173.7,10.6,1474,48288,8597,281620,1.03,35.4,62.0,2,2608,231,301662,1.00,1202.7,1.9,24,17038,162,115328,1.00,473.5,1.9,19,30980,132,215707,1.00,1202.0,1.5,34158,2255119,6219,410571,1.02,56.1,54.6
108,280,235278,280,235278,1.00,552.9,3.5,378,186839,274,135625,1.00,390.7,2.8,181,244109,233,314850,1.00,471.6,5.1,6,25374,55,232636,1.00,1484.2,1.2,39,11668,45,13598,1.00,211.7,0.5,822,271997,733,242673,1.00,182.2,10.7,1396,49684,8142,289762,1.03,33.5,65.3,2,2610,231,301893,1.00,1354.3,2.1,27,17065,183,115510,1.00,433.3,2.0,31,31011,216,215923,1.00,997.6,1.6,25793,2280912,4696,415267,1.01,54.7,56.4
109,283,235561,283,235561,1.00,565.8,3.4,345,187184,250,135876,1.00,438.2,2.8,219,244328,282,315133,1.00,494.0,5.1,5,25379,46,232681,1.00,1817.7,1.2,51,11719,59,13658,1.00,192.1,0.5,1043,273040,931,243604,1.00,186.4,10.6,1247,50931,7273,297034,1.03,32.0,68.2,1,2611,116,302009,1.00,1204.2,1.7,33,17098,223,115734,1.00,436.9,2.2,23,31034,160,216083,1.00,888.0,1.8,31390,2312302,5715,420982,1.01,53.0,59.9
110,202,235763,202,235763,1.00,558.2,3.2,580,187764,421,136297,1.00,371.5,2.8,355,244683,458,315590,1.00,512.9,5.1,4,25383,37,232718,1.00,2152.2,0.9,57,11776,66,13724,1.00,177.3,0.6,1102,274142,983,244587,1.00,190.3,10.5,683,51614,3983,301018,1.01,31.0,66.6,0,2611,0,302009,1.00,1204.2,1.7,17,17115,115,115849,1.00,469.3,2.0,14,31048,97,216181,1.00,900.9,1.8,34720,2347022,6321,427303,1.02,51.0,63.2
111,379,236142,379,236142,1.00,607.5,3.5,770,188534,559,136856,1.00,310.0,3.4,585,245268,755,316345,1.00,493.3,5.5,8,25391,73,232791,1.00,2109.8,0.9,38,11814,44,13768,1.00,177.9,0.6,1013,275155,904,245491,1.00,191.1,10.3,769,52383,4485,305502,1.01,31.6,70.2,0,2611,0,302009,1.00,1204.2,1.7,40,17155,271,116119,1.00,441.0,2.1,15,31063,104,216285,1.00,954.8,1.8,34339,2381361,6252,433555,1.01,49.9,65.9
112,163,236305,163,236305,1.00,651.3,2.9,601,189135,436,137292,1.00,272.3,3.7,307,245575,396,316741,1.00,516.3,5.1,5,25396,46,232837,1.00,2573.9,0.8,38,11852,44,13813,1.00,186.0,0.6,1027,276182,916,246407,1.00,192.7,10.3,940,53323,5482,310985,1.02,31.9,71.6,0,2611,0,302009,1.00,2169.3,1.7,30,17185,203,116323,1.00,415.9,2.1,37,31100,258,216543,1.00,928.4,2.0,40949,2422310,7455,441010,1.02,47.9,69.9
113,346,236651,346,236651,1.00,593.3,3.1,687,189822,499,137791,1.00,232.8,4.3,363,245938,468,317209,1.00,506.7,5.0,9,25405,83,232920,1.00,2853.5,0.8,50,11902,58,13871,1.00,179.2,0.6,986,277168,880,247287,1.00,190.3,10.2,1239,54562,7226,318211,1.02,34.0,75.0,2,2613,231,302240,1.00,2171.0,1.3,62,17247,420,116742,1.00,341.1,2.6,17,31117,118,216661,1.00,942.5,1.8,45527,2467837,8289,449299,1.02,46.1,74.6
114,338,236989,338,236989,1.00,573.9,3.3,537,190359,390,138180,1.00,222.8,4.7,334,246272,431,317640,1.00,471.4,5.0,9,25414,83,233002,1.00,2640.2,0.7,45,11947,52,13923,1.00,176.0,0.6,687,277855,613,247900,1.00,195.2,9.9,1481,56043,8637,326848,1.03,34.5,75.1,2,2615,231,302472,1.00,2172.6,1.3,38,17285,257,116999,1.00,324.6,2.8,92,31209,641,217302,1.00,653.2,2.6,42486,2510323,7735,457034,1.02,43.4,77.1
115,303,237290,303,237290,1.00,568.7,3.3,503,190862,365,138546,1.00,213.7,4.8,232,246504,299,317939,1.00,469.0,5.1,23,25437,211,233213,1.00,1821.7,1.0,56,12003,65,13989,1.00,173.7,0.6,639,278494,570,248470,1.00,210.3,9.6,0,56043,0,326848,1.00,43.4,61.5,3,2618,347,302819,1.00,1553.0,1.5,35,17320,237,117236,1.00,322.3,2.9,0,31209,0,217302,1.00,739.2,2.3,38673,2548996,7041,464075,1.02,42.7,81.0
116,210,237500,210,237500,1.00,566.5,3.2,587,191449,426,138972,1.00,214.0,5.1,248,246752,320,318259,1.00,493.9,5.2,2,25439,18,233231,1.00,1887.0,0.9,48,12051,56,14045,1.00,180.2,0.6,896,279390,799,249269,1.00,219.3,9.4,0,56043,0,326848,1.00,50.3,49.5,4,2622,463,303281,1.00,989.0,2.1,31,17351,210,117446,1.00,303.7,2.8,0,31209,0,217302,1.00,803.6,2.0,41556,2590552,7566,471641,1.02,42.1,84.1
117,329,237828,329,237828,1.00,584.6,3.4,630,192079,457,139429,1.00,223.3,5.2,334,247086,431,318690,1.00,563.1,5.1,23,25462,211,233442,1.00,1489.2,1.2,33,12084,38,14083,1.00,184.0,0.6,886,280276,790,250060,1.00,225.5,9.1,0,56043,0,326848,1.00,61.2,42.9,11,2633,1272,304554,1.00,495.3,4.2,33,17384,223,117670,1.00,313.6,3.0,18,31227,125,217427,1.00,789.3,2.1,43880,2634432,7989,479629,1.02,41.2,86.8
118,333,238159,333,238159,1.00,532.1,3.4,477,192556,346,139775,1.00,232.0,4.8,400,247486,516,319206,1.00,536.5,4.7,11,25473,101,233543,1.00,1373.6,1.2,37,12121,43,14126,1.00,185.3,0.6,778,281054,694,250754,1.00,237.8,8.7,2889,58932,16849,343697,1.05,41.1,63.4,0,2633,0,304554,1.00,495.3,4.2,47,17431,318,117988,1.00,292.6,3.1,22,31249,153,217580,1.00,869.6,2.1,52048,2686480,9476,489105,1.02,40.2,92.2
119,251,238011,251,238011,1.00,725.6,3.5,687,193243,499,140274,1.00,232.8,4.9,419,247905,540,319746,1.00,522.1,5.0,4,25477,37,233580,1.00,1469.4,1.2,34,12155,40,14166,1.00,197.7,0.6,721,281775,643,251397,1.00,252.3,8.3,1905,60837,11110,354807,1.03,37.8,72.7,1,2634,116,304669,1.00,519.2,4.4,67,17498,454,118441,1.00,287.8,3.5,44,31293,306,217887,1.00,737.0,2.2,53399,2739879,9722,498827,1.02,39.8,95.9
120,262,238275,262,238275,1.00,768.3,3.4,256,193499,186,140460,1.00,254.2,4.4,564,248469,727,320474,1.00,468.2,5.4,12,25489,110,233690,1.00,1411.2,1.3,43,12198,50,14216,1.00,200.0,0.6,671,282446,599,251996,1.00,253.8,7.8,1487,62324,8672,363479,1.02,38.7,75.1,0,2634,0,304669,1.00,574.0,4.0,64,17562,433,118874,1.00,261.6,3.5,52,31345,362,218249,1.00,956.2,2.6,54442,2794321,9912,508739,1.02,38.8,98.6
121,224,238499,224,238499,1.00,818.1,3.2,262,193761,190,140650,1.00,275.8,4.1,301,248770,388,320862,1.00,454.5,5.3,9,25498,83,233772,1.00,1736.2,1.3,59,12257,69,14285,1.00,198.6,0.6,649,283095,579,252575,1.00,253.8,7.8,1566,63890,9133,372612,1.03,31.5,75.9,0,2634,0,304669,1.00,681.8,3.6,63,17625,426,119301,1.00,238.2,3.8,58,31403,404,218653,1.00,671.0,2.2,45221,2839542,8233,516972,1.02,38.5,99.5
122,218,238720,218,238720,1.00,811.5,3.0,498,194259,361,141011,1.00,285.4,4.1,200,248970,258,321120,1.00,464.7,5.3,11,25509,101,233873,1.00,1513.4,1.1,49,12306,57,14342,1.00,198.6,0.6,446,283541,398,252973,1.00,282.0,7.5,1247,65137,7273,379885,1.02,27.5,88.0,2,2636,231,304901,1.00,780.0,3.5,41,17666,278,119578,1.00,231.1,3.9,69,31472,480,219133,1.00,495.5,3.0,49093,2888635,8938,525910,1.02,38.2,102.6
123,122,238833,122,238833,1.00,986.0,2.9,466,194725,338,141350,1.00,303.9,3.9,301,249271,388,321508,1.00,472.3,5.4,18,25527,165,234038,1.00,1631.2,1.3,67,12373,78,14420,1.01,175.9,0.6,730,284271,651,253624,1.00,293.8,7.2,0,65137,0,379885,1.00,27.5,88.0,1,2637,116,305016,1.00,2739.2,2.9,111,17777,751,120330,1.01,186.0,4.8,62,31534,432,219565,1.00,425.1,3.8,49990,2938625,9101,535011,1.02,38.1,105.2
124,190,239410,190,239410,1.00,793.5,2.7,503,195228,365,141715,1.00,301.7,3.8,388,249659,500,322008,1.00,475.7,5.5,4,25531,37,234075,1.00,1828.5,1.0,48,12421,56,14476,1.00,170.1,0.7,617,284888,550,254174,1.00,306.9,6.8,0,65137,0,379885,1.00,41.4,88.0,2,2639,231,305248,1.00,1826.9,1.2,37,17814,250,120580,1.00,191.3,4.8,35,31569,244,219809,1.00,408.2,4.0,57473,2996098,10464,545475,1.02,38.1,109.3
125,296,239706,296,239706,1.00,586.0,2.6,446,195674,324,142039,1.00,332.6,3.8,444,250103,573,322581,1.00,471.1,5.6,7,25538,64,234139,1.00,1739.0,1.0,17,12438,20,14496,1.00,180.7,0.6,651,285539,581,254755,1.00,313.4,6.6,2530,67667,14755,394640,1.04,38.9,84.5,0,2639,0,305248,1.00,2192.6,1.2,138,17952,934,121514,1.01,162.3,5.9,62,31631,432,220240,1.00,387.1,4.4,58906,3055004,10725,556200,1.02,38.2,111.3
126,259,239961,259,239961,1.00,589.7,2.6,422,196096,306,142345,1.00,311.9,3.4,442,250545,570,323151,1.00,499.8,5.7,4,25542,37,234176,1.00,2002.1,1.0,46,12484,54,14549,1.00,179.4,0.6,602,286141,537,255292,1.00,320.0,6.5,784,68451,4572,399212,1.01,44.1,73.7,2,2641,231,305479,1.00,1566.8,1.3,121,18073,819,122333,1.01,144.9,6.5,220,31851,1532,221772,1.01,259.5,6.4,63004,3118008,11471,567670,1.02,37.9,114.2
127,175,240136,175,240136,1.00,607.9,2.5,239,196335,173,142518,1.00,315.1,3.4,0,250545,0,323151,1.00,584.9,4.4,23,25565,211,234387,1.00,1584.7,1.2,51,12535,59,14609,1.00,185.4,0.7,579,286720,517,255809,1.00,326.9,6.3,1241,69692,7238,406450,1.02,47.6,71.3,1,2642,116,305595,1.00,1371.3,1.5,123,18196,833,123166,1.01,130.4,7.1,33,31884,230,222002,1.00,273.4,6.2,66625,3184633,12130,579800,1.02,36.3,117.9
128,174,240310,174,240310,1.00,626.4,2.4,219,196554,159,142677,1.00,354.1,3.4,0,250545,0,323151,1.00,659.3,3.8,24,25589,220,234607,1.00,1328.0,1.4,28,12563,33,14641,1.00,201.2,0.6,401,287121,358,256167,1.00,331.5,6.0,947,70639,5523,411973,1.01,51.0,65.3,0,2642,0,305595,1.00,1829.0,1.5,73,18269,494,123660,1.00,123.9,7.2,133,32017,926,222928,1.00,242.1,7.1,63051,3247684,11479,591279,1.02,35.5,123.3
129,126,240436,126,240436,1.00,621.6,2.2,390,196944,283,142960,1.00,367.0,3.2,1244,251789,1605,324756,1.00,413.4,6.0,22,25611,202,234808,1.00,1265.8,1.6,39,12602,45,14687,1.00,226.7,0.6,555,287676,495,256662,1.00,349.3,6.1,780,71419,4549,416522,1.01,45.0,60.8,4,2646,463,306057,1.00,1220.3,1.9,57,18326,386,124046,1.00,136.7,7.4,97,32114,675,223603,1.00,228.0,7.4,57258,3304942,10424,601704,1.02,35.4,125.8
130,142,240578,142,240578,1.00,854.5,2.3,397,197341,288,143249,1.00,386.3,3.2,341,252130,440,325196,1.00,421.9,6.1,17,25628,156,234964,1.00,1096.6,1.5,51,12653,59,14746,1.00,224.7,0.5,704,288380,628,257290,1.00,341.4,6.1,0,71419,0,416522,1.00,45.0,60.8,1,2647,116,306173,1.00,1373.6,1.9,89,18415,602,124648,1.00,125.3,7.2,70,32184,487,224091,1.00,215.4,7.5,58114,3363056,10580,612284,1.02,36.0,128.2
131,187,240760,187,240760,1.00,947.9,2.3,442,197783,321,143570,1.00,387.9,3.1,383,252513,494,325690,1.00,433.3,6.1,10,25638,92,235056,1.00,1064.1,1.6,62,12715,72,14818,1.00,188.8,0.6,597,288977,533,257823,1.00,347.5,6.1,0,71419,0,416522,1.00,76.9,60.8,0,2647,0,306173,1.00,1373.6,1.5,101,18516,684,125332,1.01,134.4,7.9,46,32230,320,224411,1.00,221.5,7.6,68518,3431574,12475,624759,1.02,35.8,131.6
132,201,240961,201,240961,1.00,1000.0,2.1,395,198178,287,143856,1.00,393.8,3.0,543,253056,700,326390,1.00,416.7,6.3,32,25670,293,235349,1.00,831.9,2.0,42,12757,49,14867,1.00,192.2,0.6,693,289670,618,258441,1.00,339.3,6.1,1642,73061,9576,426098,1.02,63.6,52.2,1,2648,116,306289,1.00,1570.7,1.7,97,18613,657,125988,1.01,141.2,7.4,54,32284,376,224787,1.00,307.9,7.5,67717,3499291,12329,637087,1.02,36.0,134.2
133,223,241184,223,241184,1.00,955.0,2.0,378,198556,274,144131,1.00,369.7,3.0,852,253908,1099,327489,1.00,311.7,7.2,13,25683,119,235469,1.00,903.1,2.1,43,12800,50,14917,1.00,198.8,0.6,715,290385,638,259079,1.00,327.4,6.3,283,73344,1650,427749,1.00,81.1,47.4,2,2650,231,306520,1.00,1375.2,1.7,74,18687,501,126489,1.00,156.2,6.9,129,32413,898,225685,1.00,252.7,6.5,76930,3576221,14006,651093,1.02,35.9,138.4
134,235,241419,235,241419,1.00,903.3,2.1,248,198804,180,144311,1.00,365.4,3.0,0,253908,0,327489,1.00,311.7,7.2,15,25698,138,235606,1.00,978.4,2.0,50,12850,58,14976,1.00,184.1,0.6,565,290950,504,259583,1.00,313.9,6.3,514,73858,2998,430747,1.01,92.9,40.3,3,2653,347,306867,1.00,1000.8,2.1,108,18795,731,127220,1.01,146.5,6.7,88,32501,613,226298,1.00,277.1,7.1,71494,3647715,13016,664110,1.02,35.8,139.9
135,192,241611,192,241611,1.00,853.1,2.2,159,198963,115,144426,1.00,407.7,2.9,0,253908,0,327489,1.00,496.0,7.2,32,25730,293,235899,1.00,897.1,2.1,54,12904,63,15039,1.00,175.6,0.7,442,291392,394,259977,1.00,324.0,6.3,475,74333,2770,433517,1.01,103.5,35.7,5,2658,578,307445,1.00,918.9,3.1,52,18847,352,127572,1.00,148.3,6.5,104,32605,724,227022,1.00,274.0,6.8,63749,3711464,11606,675716,1.02,35.8,140.1
136,208,241819,208,241819,1.00,808.3,2.3,412,199375,299,144725,1.00,405.5,2.9,2045,255953,2638,330126,1.01,275.9,8.9,20,25750,183,236083,1.00,875.7,2.1,63,12967,73,15112,1.00,169.6,0.7,361,291753,322,260299,1.00,357.6,6.0,565,74898,3295,436812,1.01,87.2,33.7,3,2661,347,307792,1.00,788.2,2.9,12,18859,81,127654,1.00,174.5,6.0,108,32713,752,227774,1.00,255.1,6.9,61796,3773260,11251,686966,1.02,36.1,141.5
137,138,241956,138,241956,1.00,839.3,2.3,351,199726,255,144980,1.00,425.4,2.9,666,256619,859,330985,1.00,257.5,9.6,10,25760,92,236174,1.00,876.0,2.0,63,13030,73,15185,1.00,169.9,0.7,726,292479,648,260947,1.00,345.2,6.1,0,74898,0,436812,1.00,87.2,33.7,5,2666,578,308371,1.00,581.4,3.6,201,19060,1361,129014,1.01,143.5,7.2,85,32798,592,228366,1.00,238.0,7.1,56750,3830010,10332,697298,1.02,37.9,141.1
138,193,242149,193,242149,1.00,845.6,2.3,534,200260,388,145368,1.00,397.9,3.0,875,257494,1129,332114,1.00,238.9,10.7,6,25766,55,236229,1.00,1114.1,1.9,61,13091,71,15257,1.00,160.9,0.7,685,293164,611,261558,1.00,346.8,6.2,0,74898,0,436812,1.00,167.3,33.7,7,2673,810,309180,1.00,442.5,5.0,55,19115,372,129386,1.00,156.1,6.7,63,32861,439,228804,1.00,234.8,7.3,72048,3902058,13117,710416,1.02,38.2,142.1
139,229,242363,229,242363,1.00,852.8,2.4,583,200843,423,145791,1.00,363.1,3.2,1361,258855,1755,333869,1.01,215.3,12.4,36,25802,330,236560,1.00,899.6,2.0,0,13091,0,15257,1.00,184.9,0.6,772,293936,689,262247,1.00,342.1,6.3,928,75826,5412,442224,1.01,124.8,26.8,1,2674,116,309296,1.00,461.2,5.0,153,19268,1036,130422,1.01,135.7,7.4,70,32931,487,229292,1.00,262.3,7.5,68848,3970906,12535,722950,1.02,39.7,142.5
140,276,242639,276,242639,1.00,825.0,2.4,529,201372,384,146175,1.00,324.0,3.4,1400,260255,1806,335675,1.01,168.3,13.6,17,25819,156,236715,1.00,885.2,2.1,90,13181,105,15361,1.01,163.4,0.7,704,294640,628,262875,1.00,330.0,6.3,175,76001,1021,443245,1.00,145.1,25.7,3,2677,347,309643,1.00,461.7,5.2,138,19406,934,131356,1.01,129.9,8.1,132,33063,919,230211,1.00,242.6,7.5,63196,4034102,11506,734456,1.02,41.3,138.3
141,188,242827,188,242827,1.00,828.4,2.4,202,201574,147,146321,1.00,319.0,3.3,0,260255,0,335675,1.00,168.3,13.6,7,25826,64,236780,1.00,1116.6,1.9,63,13244,73,15435,1.00,159.8,0.8,569,295209,508,263383,1.00,319.6,6.3,491,76492,2864,446108,1.01,145.0,25.5,1,2678,116,309759,1.00,554.7,4.8,102,19508,690,132047,1.01,120.5,8.0,142,33205,989,231200,1.00,228.0,8.1,78427,4112529,14279,748734,1.02,40.5,140.4
142,234,243061,234,243061,1.00,811.8,2.4,249,201823,181,146502,1.00,340.7,3.4,0,260255,0,335675,1.00,249.3,13.6,19,25845,174,236954,1.00,1129.2,1.7,49,13293,57,15492,1.00,167.4,0.8,493,295702,440,263822,1.00,309.3,6.4,385,76877,2245,448354,1.01,159.1,24.6,4,2682,463,310221,1.00,528.9,4.6,63,19571,426,132473,1.00,112.2,8.1,91,33296,634,231833,1.00,235.4,8.0,65498,4178027,11925,760659,1.02,40.8,141.0
143,169,243230,169,243230,1.00,791.9,2.4,522,202345,379,146881,1.00,319.2,3.6,4581,264836,5909,341584,1.02,131.5,19.0,24,25869,220,237174,1.00,984.8,1.8,45,13338,52,15544,1.00,177.9,0.7,413,296115,368,264191,1.00,336.6,6.5,404,77281,2356,450710,1.01,132.6,23.1,1,2683,116,310337,1.00,654.1,4.2,108,19679,731,133204,1.01,130.1,9.2,110,33406,766,232599,1.00,226.4,8.0,55993,4234020,10194,770853,1.01,41.5,139.2
144,114,243344,114,243344,1.00,844.8,2.3,454,202799,330,147211,1.00,330.1,3.7,1358,266194,1752,343335,1.01,124.8,20.5,12,25881,110,237284,1.00,933.8,1.8,35,13373,41,15585,1.00,195.0,0.7,793,296908,708,264898,1.00,327.7,6.6,0,77281,0,450710,1.00,132.6,23.1,1,2684,116,310453,1.00,1012.5,3.5,139,19818,941,134145,1.01,115.1,8.5,98,33504,682,233282,1.00,214.6,8.2,56243,4290263,10240,781093,1.01,43.8,139.0
145,163,243506,163,243506,1.00,883.9,2.3,569,203368,413,147624,1.00,332.8,3.7,1357,267551,1750,345085,1.01,125.5,21.5,11,25892,101,237385,1.00,1194.3,1.9,44,13417,51,15637,1.00,169.0,0.6,751,297659,670,265568,1.00,330.4,6.7,0,77281,0,450710,1.00,218.6,23.1,0,2684,0,310453,1.00,1113.9,2.1,140,19958,948,135093,1.01,118.2,9.5,43,33547,299,233581,1.00,224.4,7.9,61734,4351997,11239,792332,1.01,45.4,135.9
146,230,243736,230,243736,1.00,921.9,2.3,815,204183,592,148215,1.00,299.9,4.0,2615,270166,3373,348458,1.01,111.0,24.2,37,25929,339,237724,1.00,978.1,1.9,62,13479,72,15709,1.00,186.0,0.8,773,298432,690,266258,1.00,325.2,6.7,767,78048,4473,455183,1.01,156.3,21.5,1,2685,116,310568,1.00,1393.4,2.1,164,20122,1110,136203,1.01,114.8,9.6,108,33655,752,234333,1.00,234.3,8.4,74985,4426982,13652,805984,1.02,44.7,137.8
147,233,243967,233,243967,1.00,887.9,2.2,781,204964,567,148782,1.00,249.3,4.3,2255,272421,2908,351367,1.01,90.9,26.0,13,25942,119,237843,1.00,927.9,1.9,33,13512,38,15747,1.00,207.6,0.6,731,299163,652,266910,1.00,312.6,6.7,118,78166,688,455871,1.00,191.8,21.0,0,2685,0,310568,1.00,1592.7,1.5,107,20229,724,136927,1.01,114.6,9.2,141,33796,982,235315,1.00,235.7,8.5,68032,4495014,12386,818370,1.02,46.8,139.2
148,249,244216,249,244216,1.00,877.3,2.3,305,205269,221,149004,1.00,245.6,4.5,0,272421,0,351367,1.00,90.9,26.0,85,26027,779,238622,1.00,592.4,3.1,39,13551,45,15793,1.00,216.3,0.6,667,299830,595,267505,1.00,300.0,6.8,338,78504,1971,457842,1.00,198.2,19.5,1,2686,116,310684,1.00,2790.4,1.5,120,20349,812,137739,1.01,106.7,9.4,117,33913,815,236129,1.00,226.5,8.2,67023,4562037,12202,830573,1.01,47.3,135.8
149,219,244434,219,244434,1.00,842.2,2.3,340,205609,247,149250,1.00,259.8,4.6,0,272421,0,351367,1.00,147.1,26.0,38,26065,348,238971,1.00,550.8,3.3,61,13612,71,15864,1.00,204.5,0.6,421,300251,376,267881,1.00,299.8,6.7,259,78763,1511,459353,1.00,218.5,18.3,1,2687,116,310800,1.00,2791.5,1.0,137,20486,927,138666,1.01,103.5,10.3,154,34067,1072,237202,1.00,212.2,8.9,,,,,,,
150,190,244624,190,244624,1.00,792.7,2.3,633,206242,459,149710,1.00,247.0,4.7,6361,278782,8204,359571,1.02,89.7,29.8,,,,,,,,60,13672,70,15934,1.00,188.1,0.6,371,300622,331,268212,1.00,334.5,6.7,234,78997,1365,460718,1.00,189.1,16.6,6,2693,694,311494,1.00,1241.7,1.9,64,20550,433,139100,1.00,114.6,9.8,148,34215,1030,238232,1.00,198.0,9.3,,,,,,,
151,129,244752,129,244752,1.00,814.8,2.3,684,206926,497,150206,1.00,239.7,5.0,1828,280610,2358,361929,1.01,86.9,30.9,,,,,,,,39,13711,45,15979,1.00,191.8,0.7,70,300692,62,268275,1.00,410.1,5.6,0,78997,0,460718,1.00,189.1,16.6,5,2698,578,312072,1.00,799.1,2.7,132,20682,893,139993,1.01,116.7,9.7,110,34325,766,238998,1.00,181.4,9.5,,,,,,,
152,282,245032,282,245032,1.00,784.2,2.5,902,207828,655,150861,1.00,235.0,5.4,2031,282641,2620,364548,1.01,91.8,32.3,,,,,,,,34,13745,40,16019,1.00,212.8,0.6,763,301455,681,268955,1.00,412.6,5.6,0,78997,0,460718,1.00,343.9,16.6,2,2700,231,312303,1.00,746.2,3.1,164,20846,1110,141103,1.01,117.6,10.0,65,34390,453,239451,1.00,192.5,9.7,,,,,,,
153,306,245338,306,245338,1.00,742.1,2.7,870,208698,632,151493,1.00,230.3,5.4,2789,285430,3597,368146,1.01,88.8,32.7,,,,,,,,26,13771,30,16049,1.00,219.0,0.6,846,302301,755,269710,1.00,398.5,5.7,398,79395,2321,463039,1.01,266.4,13.0,-8,2692,-925,311378,1.00,1592.1,1.3,163,21009,1103,142207,1.01,109.9,10.0,132,34522,919,240370,1.00,195.7,10.0,,,,,,,
154,252,245590,252,245590,1.00,741.3,2.7,955,209653,693,152186,1.00,196.8,5.6,3092,288522,3988,372134,1.01,72.2,34.5,,,,,,,,45,13816,52,16102,1.00,214.7,0.6,880,303181,785,270495,1.00,374.1,5.9,99,79494,577,463616,1.00,331.6,12.9,4,2696,463,311841,1.00,1116.5,2.1,89,21098,602,142809,1.00,115.0,9.8,192,34714,1337,241707,1.01,178.1,10.6,,,,,,,
155,275,245864,275,245864,1.00,712.9,2.7,,,,,,,,,,,,,,,,,,,,,,63,13879,73,16175,1.00,214.1,0.6,,,,,,,,288,79782,1680,465296,1.00,323.3,12.4,6,2702,694,312535,1.00,745.8,3.1,,,,,,,,219,34933,1525,243231,1.01,165.6,11.8,,,,,,,
156,255,246118,255,246118,1.00,683.0,2.8,,,,,,,,,,,,,,,,,,,,,,59,13938,69,16244,1.00,215.8,0.6,,,,,,,,318,80100,1855,467151,1.00,299.7,12.9,15,2717,1735,314270,1.01,467.8,5.8,,,,,,,,137,35070,954,244185,1.00,168.5,11.6,,,,,,,
157,170,246286,170,246286,1.00,665.6,2.8,,,,,,,,,,,,,,,,,,,,,,41,13979,48,16291,1.00,214.8,0.6,,,,,,,,322,80422,1878,469028,1.00,232.5,13.8,8,2725,925,315195,1.00,416.8,6.1,,,,,,,,,,,,,,,,,,,,,
158,212,246488,212,246488,1.00,702.0,2.9,,,,,,,,,,,,,,,,,,,,,,113,14092,132,16423,1.01,166.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,289,246776,289,246776,1.00,711.6,2.9,,,,,,,,,,,,,,,,,,,,,,58,14150,68,16491,1.00,153.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,386,247158,386,247158,1.00,653.4,3.1,,,,,,,,,,,,,,,,,,,,,,25,14175,29,16520,1.00,162.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,379,247537,379,247537,1.00,613.2,3.3,,,,,,,,,,,,,,,,,,,,,,28,14203,33,16553,1.00,180.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,14251,56,16608,1.00,187.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14269,21,16629,1.00,202.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,14305,42,16671,1.00,277.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,14336,36,16708,1.00,318.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
